"Phi","Points:0","Points:1","Points:2"
1,153.6,563.2,0
1,179.2,563.2,0
1,204.8,563.2,0
1,230.4,563.2,0
1,256,563.2,0
1,281.6,563.2,0
1,307.2,563.2,0
1,332.8,563.2,0
1,358.4,563.2,0
1,384,563.2,0
1,409.6,563.2,0
1,435.2,563.2,0
1,460.8,563.2,0
1,486.4,563.2,0
1,512,563.2,0
1,537.6,563.2,0
1,0,588.8,0
1,25.6,588.8,0
1,51.2,588.8,0
1,76.8,588.8,0
1,102.4,588.8,0
1,128,588.8,0
1,153.6,588.8,0
1,179.2,588.8,0
1,204.8,588.8,0
1,230.4,588.8,0
1,256,588.8,0
1,281.6,588.8,0
1,307.2,588.8,0
1,332.8,588.8,0
1,358.4,588.8,0
1,384,588.8,0
1,409.6,588.8,0
1,435.2,588.8,0
1,460.8,588.8,0
1,486.4,588.8,0
1,512,588.8,0
1,537.6,588.8,0
1,0,614.4,0
1,25.6,614.4,0
1,51.2,614.4,0
1,76.8,614.4,0
1,102.4,614.4,0
1,128,614.4,0
1,153.6,614.4,0
1,179.2,614.4,0
1,204.8,614.4,0
1,230.4,614.4,0
1,256,614.4,0
1,281.6,614.4,0
1,307.2,614.4,0
1,332.8,614.4,0
1,358.4,614.4,0
1,384,614.4,0
1,409.6,614.4,0
1,435.2,614.4,0
1,460.8,614.4,0
1,486.4,614.4,0
1,512,614.4,0
1,537.6,614.4,0
1,0,640,0
1,25.6,640,0
1,51.2,640,0
1,76.8,640,0
1,102.4,640,0
1,128,640,0
1,153.6,640,0
1,179.2,640,0
1,204.8,640,0
1,230.4,640,0
1,256,640,0
1,281.6,640,0
1,307.2,640,0
1,332.8,640,0
1,358.4,640,0
1,384,640,0
1,409.6,640,0
1,435.2,640,0
1,460.8,640,0
1,486.4,640,0
1,512,640,0
1,537.6,640,0
1,0,665.6,0
1,25.6,665.6,0
1,51.2,665.6,0
1,76.8,665.6,0
1,102.4,665.6,0
1,128,665.6,0
1,153.6,665.6,0
1,179.2,665.6,0
1,204.8,665.6,0
1,230.4,665.6,0
1,256,665.6,0
1,281.6,665.6,0
1,307.2,665.6,0
1,332.8,665.6,0
1,358.4,665.6,0
1,384,665.6,0
1,409.6,665.6,0
1,435.2,665.6,0
1,460.8,665.6,0
1,486.4,665.6,0
1,512,665.6,0
1,537.6,665.6,0
1,0,691.2,0
1,25.6,691.2,0
1,51.2,691.2,0
1,76.8,691.2,0
1,102.4,691.2,0
1,128,691.2,0
1,153.6,691.2,0
1,179.2,691.2,0
1,204.8,691.2,0
1,230.4,691.2,0
1,256,691.2,0
1,281.6,691.2,0
1,307.2,691.2,0
1,332.8,691.2,0
1,358.4,691.2,0
1,384,691.2,0
1,409.6,691.2,0
1,435.2,691.2,0
1,460.8,691.2,0
1,486.4,691.2,0
1,512,691.2,0
1,537.6,691.2,0
1,0,716.8,0
1,25.6,716.8,0
1,51.2,716.8,0
1,76.8,716.8,0
1,102.4,716.8,0
1,128,716.8,0
1,153.6,716.8,0
1,179.2,716.8,0
1,204.8,716.8,0
1,230.4,716.8,0
1,256,716.8,0
1,281.6,716.8,0
1,307.2,716.8,0
1,332.8,716.8,0
1,358.4,716.8,0
1,384,716.8,0
1,409.6,716.8,0
1,435.2,716.8,0
1,460.8,716.8,0
1,486.4,716.8,0
1,512,716.8,0
1,537.6,716.8,0
1,0,742.4,0
1,25.6,742.4,0
1,51.2,742.4,0
1,76.8,742.4,0
1,102.4,742.4,0
1,128,742.4,0
1,153.6,742.4,0
1,179.2,742.4,0
1,204.8,742.4,0
1,230.4,742.4,0
1,256,742.4,0
1,281.6,742.4,0
1,307.2,742.4,0
1,332.8,742.4,0
1,358.4,742.4,0
1,384,742.4,0
1,409.6,742.4,0
1,435.2,742.4,0
1,460.8,742.4,0
1,486.4,742.4,0
1,512,742.4,0
1,537.6,742.4,0
1,0,768,0
1,25.6,768,0
1,51.2,768,0
1,76.8,768,0
1,102.4,768,0
1,128,768,0
1,153.6,768,0
1,179.2,768,0
1,204.8,768,0
1,230.4,768,0
1,256,768,0
1,281.6,768,0
1,307.2,768,0
1,332.8,768,0
1,358.4,768,0
1,384,768,0
1,409.6,768,0
1,435.2,768,0
1,460.8,768,0
1,486.4,768,0
1,512,768,0
1,537.6,768,0
1,0,793.6,0
1,25.6,793.6,0
1,51.2,793.6,0
1,76.8,793.6,0
1,102.4,793.6,0
1,128,793.6,0
1,153.6,793.6,0
1,179.2,793.6,0
1,204.8,793.6,0
1,230.4,793.6,0
1,256,793.6,0
1,281.6,793.6,0
1,307.2,793.6,0
1,332.8,793.6,0
1,358.4,793.6,0
1,384,793.6,0
1,409.6,793.6,0
1,435.2,793.6,0
1,460.8,793.6,0
1,486.4,793.6,0
1,512,793.6,0
1,537.6,793.6,0
1,0,819.2,0
1,25.6,819.2,0
1,51.2,819.2,0
1,76.8,819.2,0
1,102.4,819.2,0
1,128,819.2,0
1,153.6,819.2,0
1,179.2,819.2,0
1,204.8,819.2,0
1,230.4,819.2,0
1,256,819.2,0
1,281.6,819.2,0
1,307.2,819.2,0
1,332.8,819.2,0
1,358.4,819.2,0
1,384,819.2,0
1,409.6,819.2,0
1,435.2,819.2,0
1,460.8,819.2,0
1,486.4,819.2,0
1,512,819.2,0
1,537.6,819.2,0
1,0,844.8,0
1,25.6,844.8,0
1,51.2,844.8,0
1,76.8,844.8,0
1,102.4,844.8,0
1,128,844.8,0
1,153.6,844.8,0
1,179.2,844.8,0
1,204.8,844.8,0
1,230.4,844.8,0
1,256,844.8,0
1,281.6,844.8,0
1,307.2,844.8,0
1,332.8,844.8,0
1,358.4,844.8,0
1,384,844.8,0
1,409.6,844.8,0
1,435.2,844.8,0
1,460.8,844.8,0
1,486.4,844.8,0
1,512,844.8,0
1,537.6,844.8,0
1,0,870.4,0
1,25.6,870.4,0
1,51.2,870.4,0
1,76.8,870.4,0
1,102.4,870.4,0
1,128,870.4,0
1,153.6,870.4,0
1,179.2,870.4,0
1,204.8,870.4,0
1,230.4,870.4,0
1,256,870.4,0
1,281.6,870.4,0
1,307.2,870.4,0
1,332.8,870.4,0
1,358.4,870.4,0
1,384,870.4,0
1,409.6,870.4,0
1,435.2,870.4,0
1,460.8,870.4,0
1,486.4,870.4,0
1,512,870.4,0
1,537.6,870.4,0
1,0,896,0
1,25.6,896,0
1,51.2,896,0
1,76.8,896,0
1,102.4,896,0
1,128,896,0
1,153.6,896,0
1,179.2,896,0
1,204.8,896,0
1,230.4,896,0
1,256,896,0
1,281.6,896,0
1,307.2,896,0
1,332.8,896,0
1,358.4,896,0
1,384,896,0
1,409.6,896,0
1,435.2,896,0
1,460.8,896,0
1,486.4,896,0
1,512,896,0
1,537.6,896,0
1,0,921.6,0
1,25.6,921.6,0
1,51.2,921.6,0
1,76.8,921.6,0
1,102.4,921.6,0
1,128,921.6,0
1,153.6,921.6,0
1,179.2,921.6,0
1,204.8,921.6,0
1,230.4,921.6,0
1,256,921.6,0
1,281.6,921.6,0
1,307.2,921.6,0
1,332.8,921.6,0
1,358.4,921.6,0
1,384,921.6,0
1,409.6,921.6,0
1,435.2,921.6,0
1,460.8,921.6,0
1,486.4,921.6,0
1,512,921.6,0
1,537.6,921.6,0
1,0,947.2,0
1,25.6,947.2,0
1,51.2,947.2,0
1,76.8,947.2,0
1,102.4,947.2,0
1,128,947.2,0
1,153.6,947.2,0
1,179.2,947.2,0
1,204.8,947.2,0
1,230.4,947.2,0
1,256,947.2,0
1,281.6,947.2,0
1,307.2,947.2,0
1,332.8,947.2,0
1,358.4,947.2,0
1,384,947.2,0
1,409.6,947.2,0
1,435.2,947.2,0
1,460.8,947.2,0
1,486.4,947.2,0
1,512,947.2,0
1,537.6,947.2,0
1,0,972.8,0
1,25.6,972.8,0
1,51.2,972.8,0
1,76.8,972.8,0
1,102.4,972.8,0
1,128,972.8,0
1,153.6,972.8,0
1,179.2,972.8,0
1,204.8,972.8,0
1,230.4,972.8,0
1,256,972.8,0
1,281.6,972.8,0
1,307.2,972.8,0
1,332.8,972.8,0
1,358.4,972.8,0
1,384,972.8,0
1,409.6,972.8,0
1,435.2,972.8,0
1,460.8,972.8,0
1,486.4,972.8,0
1,512,972.8,0
1,537.6,972.8,0
1,0,998.4,0
1,25.6,998.4,0
1,51.2,998.4,0
1,76.8,998.4,0
1,102.4,998.4,0
1,128,998.4,0
1,153.6,998.4,0
1,179.2,998.4,0
1,204.8,998.4,0
1,230.4,998.4,0
1,256,998.4,0
1,281.6,998.4,0
1,307.2,998.4,0
1,332.8,998.4,0
1,358.4,998.4,0
1,384,998.4,0
1,409.6,998.4,0
1,435.2,998.4,0
1,460.8,998.4,0
1,486.4,998.4,0
1,512,998.4,0
1,537.6,998.4,0
1,0,1024,0
1,25.6,1024,0
1,51.2,1024,0
1,76.8,1024,0
1,102.4,1024,0
1,128,1024,0
1,153.6,1024,0
1,179.2,1024,0
1,204.8,1024,0
1,230.4,1024,0
1,256,1024,0
1,281.6,1024,0
1,307.2,1024,0
1,332.8,1024,0
1,358.4,1024,0
1,384,1024,0
1,409.6,1024,0
1,435.2,1024,0
1,460.8,1024,0
1,486.4,1024,0
1,512,1024,0
1,537.6,1024,0
1,0,1049.6,0
1,25.6,1049.6,0
1,51.2,1049.6,0
1,76.8,1049.6,0
1,102.4,1049.6,0
1,128,1049.6,0
1,153.6,1049.6,0
1,179.2,1049.6,0
1,204.8,1049.6,0
1,230.4,1049.6,0
1,256,1049.6,0
1,281.6,1049.6,0
1,307.2,1049.6,0
1,332.8,1049.6,0
1,358.4,1049.6,0
1,384,1049.6,0
1,409.6,1049.6,0
1,435.2,1049.6,0
1,460.8,1049.6,0
1,486.4,1049.6,0
1,512,1049.6,0
1,537.6,1049.6,0
1,0,1075.2,0
1,25.6,1075.2,0
1,51.2,1075.2,0
1,76.8,1075.2,0
1,102.4,1075.2,0
1,128,1075.2,0
1,153.6,1075.2,0
1,179.2,1075.2,0
1,204.8,1075.2,0
1,230.4,1075.2,0
1,256,1075.2,0
1,281.6,1075.2,0
1,307.2,1075.2,0
1,332.8,1075.2,0
1,358.4,1075.2,0
1,384,1075.2,0
1,409.6,1075.2,0
1,435.2,1075.2,0
1,460.8,1075.2,0
1,486.4,1075.2,0
1,512,1075.2,0
1,537.6,1075.2,0
1,0,1100.8,0
1,25.6,1100.8,0
1,51.2,1100.8,0
1,76.8,1100.8,0
1,102.4,1100.8,0
1,128,1100.8,0
1,153.6,1100.8,0
1,179.2,1100.8,0
1,204.8,1100.8,0
1,230.4,1100.8,0
1,256,1100.8,0
1,281.6,1100.8,0
1,307.2,1100.8,0
1,332.8,1100.8,0
1,358.4,1100.8,0
1,384,1100.8,0
1,409.6,1100.8,0
1,435.2,1100.8,0
1,460.8,1100.8,0
1,486.4,1100.8,0
1,512,1100.8,0
1,537.6,1100.8,0
1,0,1126.4,0
1,25.6,1126.4,0
1,51.2,1126.4,0
1,76.8,1126.4,0
1,102.4,1126.4,0
1,128,1126.4,0
1,153.6,1126.4,0
1,179.2,1126.4,0
1,204.8,1126.4,0
1,230.4,1126.4,0
1,256,1126.4,0
1,281.6,1126.4,0
1,307.2,1126.4,0
1,332.8,1126.4,0
1,358.4,1126.4,0
1,384,1126.4,0
1,409.6,1126.4,0
1,435.2,1126.4,0
1,460.8,1126.4,0
1,486.4,1126.4,0
1,512,1126.4,0
1,537.6,1126.4,0
1,0,1152,0
1,25.6,1152,0
1,51.2,1152,0
1,76.8,1152,0
1,102.4,1152,0
1,128,1152,0
1,153.6,1152,0
1,179.2,1152,0
1,204.8,1152,0
1,230.4,1152,0
1,256,1152,0
1,281.6,1152,0
1,307.2,1152,0
1,332.8,1152,0
1,358.4,1152,0
1,384,1152,0
1,409.6,1152,0
1,435.2,1152,0
1,460.8,1152,0
1,486.4,1152,0
1,512,1152,0
1,537.6,1152,0
1,0,1177.6,0
1,25.6,1177.6,0
1,51.2,1177.6,0
1,76.8,1177.6,0
1,102.4,1177.6,0
1,128,1177.6,0
1,153.6,1177.6,0
1,179.2,1177.6,0
1,204.8,1177.6,0
1,230.4,1177.6,0
1,256,1177.6,0
1,281.6,1177.6,0
1,307.2,1177.6,0
1,332.8,1177.6,0
1,358.4,1177.6,0
1,384,1177.6,0
1,409.6,1177.6,0
1,435.2,1177.6,0
1,460.8,1177.6,0
1,486.4,1177.6,0
1,512,1177.6,0
1,537.6,1177.6,0
1,0,1203.2,0
1,25.6,1203.2,0
1,51.2,1203.2,0
1,76.8,1203.2,0
1,102.4,1203.2,0
1,128,1203.2,0
1,153.6,1203.2,0
1,179.2,1203.2,0
1,204.8,1203.2,0
1,230.4,1203.2,0
1,256,1203.2,0
1,281.6,1203.2,0
1,307.2,1203.2,0
1,332.8,1203.2,0
1,358.4,1203.2,0
1,384,1203.2,0
1,409.6,1203.2,0
1,435.2,1203.2,0
1,460.8,1203.2,0
1,486.4,1203.2,0
1,512,1203.2,0
1,537.6,1203.2,0
1,0,1228.8,0
1,25.6,1228.8,0
1,51.2,1228.8,0
1,76.8,1228.8,0
